k,NDCG,HR
1,0.4543800924114763,0.3149522799575822
2,0.591137696400844,0.4602332979851538
3,0.6499299563810882,0.5471898197242842
4,0.7083553485556784,0.6246023329798516
5,0.7182155869494125,0.662778366914104
6,0.7446672177514174,0.7073170731707317
7,0.7633083086555447,0.7338282078472959
8,0.7744071160479877,0.7613997879109226
9,0.7776498166579779,0.7815482502651113
10,0.7962750559874707,0.809119830328738












