k,NDCG,HR
1,0.43755120009994014,0.30328738069989397
2,0.5909010993589912,0.45811240721102864
3,0.6346120925490125,0.5323435843054083
4,0.6758966147386762,0.6002120890774125
5,0.699500478127911,0.6542948038176034
6,0.7222428138244644,0.689289501590668
7,0.753872876137929,0.71898197242842
8,0.7679883635049657,0.7539766702014846
9,0.7578124347303318,0.7847295864262991
10,0.78768588933941,0.8176033934252386











